Target,Stance,Text,Hashtags,Stance_Processed
fauci,AGAINST,"I've been holding off on this but I've officially had enough  Only a partisan hack would believe that NY handled COVID-19 ""the right way"" I'm sure all of those families who lost their loved ones in nursing homes feel differently.  Fauci has no credibility left. Bye.",FireFauci,0
fauci,FAVOR,"MENTION MENTION Why RT this?? You and DrFauci said that states should NOT START the PROCESS of opening up businesses until coronavirus numbers go down for 2 WEEKS. Then a few of your voters protest ShelterIn orders &amp; you do a complete reversal. You care about your popularity, not our safety","DrFauci,coronavirus,ShelterIn",2
fauci,FAVOR,"MENTION Shocking,,,,, poor DrFauci will definitely be needing to get his resume updated once someone dumbs down the report and spoon feeds its findings to The Donald.","DrFauci,COVID19,TrumpVirus,TrudeauLiedPeopleDied",2
fauci,NONE,"MENTION Did I miss something? Have 130000 American children been slaughtered in addition to the Americans who have perished due to your incompetence? Make no mistake, bonespurs, their blood is on your hands. TrumpVirus  TrumpGolfsAmericansDie ","TrumpVirus,TrumpGolfsAmericansDie,TrumpIsNotWell,IStandWithFauci",1
fauci,AGAINST,MENTION MENTION FireFauci he is not working int he best interest of the health and well-being of Americans. He is closely tied to industry and doesn't speak of vitaminc which is being used in China and NYC to cure.,"FireFauci,vitaminc,coronavirus,FireFauciNow",0
fauci,FAVOR,"MENTION MENTION MENTION And all wearing masks, give Fauci the platform and ditch the orange balloon child, for Christ sake.",FauciIsAHero,2
fauci,AGAINST,"MENTION Fauci: “I don’t see how this is relevant [to the spread of Covid]. I’m not gonna comment on this!” When the head of the Covid task force’s playing political games like a partisan Democrat, you know the country’s in trouble. President Trump thankfully knows he’s a hack.",firefauci,0
fauci,FAVOR,MENTION 👍👍👍thks MENTION Plandemic  BoycottSinclair ,"Plandemic,BoycottSinclair,AdvertisersTakeNotice,ComcastComplicit,BoycottSinclairAffiliates,IBelieveFauci,ISupportFauci,IStandWithFauci",2
fauci,NONE,MENTION Are these 's correct b/c it seems like some states are underreporting cases due to lack of,"underreporting,testing,coronavirus,COVID19,therona,DrFauci,ThursdayThoughts,health,contagionmovie,NoPlanetB,PeopleOverPolitics,peoplebeforeprofit",1
fauci,FAVOR,"MENTION Who is going to tell her that there is STILL a PPE shortage? Still not enough testing, no contact tracing, no national mask mandate. This regime has failed. Common defense? General welfare? It’s criminal.","JoeBidenForPresident2020,IStandWithFauci",2
fauci,NONE,MENTION MENTION Get this clown off the stage.,"COVID19,FauciTheFraud",1
fauci,FAVOR,MENTION .MENTION swam in a pool when he knew he was Covid19 positive.  He’s irresponsible &amp; selfish. I trust DrFauci over him any day!,"Covid19,DrFauci",2
fauci,NONE,realtors are working in the Nashville market. People are buying and selling &amp; I will help you navigate the realestate road safely. ,"realtors,Nashville,realestate,precautions,COVID19,COVID19Pandemic,remotelearning,DrFauci,realtor,homes",1
fauci,NONE,"MENTION MENTION The science is NOT on the side of opening schools. I am so very sick and tired of Republican lies and spin. It’s got NOTHING to do with CNN. Sadly for you, some of us read and interpret for ourselves.","VoteBlueToEndThisNightmare,ImWithFauci",1
fauci,NONE,"MENTION I saw that Speaker Pelosi referred to COVID-19 as the “Trump Virus”. From where I sit, and considering the lack of action, I actually term it more as the Trumpdemic!","Trumpdemic,LetsGetAfterIt,IStandWithFauci",1
fauci,FAVOR,MENTION You could say to MENTION it's possible mask requests have increased given the projected death rate from Coronavirus according to DrFauci and it is not normal for healthcare workers to use one mask for multiple patients.,"Coronavirus,DrFauci,healthcare,TrumpIsA_DANGER_ToAmerica,Trumpisabully",2
fauci,NONE,"MENTION He sure has a lot to sag about shutdowns, but refuses to answer a simple question about mass protests?!  This man seems to have an agenda. ",FireFauci,1
fauci,NONE,MENTION MENTION MENTION 👏🏼👏🏼👏🏼👏🏼👏🏼 Don’t wear a mask‼️ Only 🐑 wear mask.,FauciTheFraud,1
fauci,NONE,"MENTION MENTION He says in the middle of an outbreak... what change? Oh yeah, his overlords told him to get back on the mask because it's a great dividing tool.",FauciTheFraud,1
fauci,AGAINST,I’ve always been suspicious of DrFauci as everything.... I mean EVERY. THING....he said was proven WRONG! Every model. Every statement on covid vaccines....wrong!  coronavirus covid19 theRona HCQWorks ,"DrFauci,coronavirus,covid19,theRona,HCQWorks,hydroxychroloquine",0
fauci,FAVOR,"Allegedly it was MENTION, one of the most racist liars from self-proclaimed ""entertainment news"" ch FoxNews, who drive up from his FL prop to Maralago &amp; convinced MENTION* to take COVID19 coronavirus seriously! Not DrFauci experts or Dr's. TUCKER CARLSON ppl!","FoxNews,Maralago,COVID19,coronavirus,DrFauci",2
fauci,NONE,"If Fauci liked a post by Dinesh D'Souza, he would be fired by now. It shows where our priorities are at as a society",FireFauci,1
fauci,AGAINST,MENTION I see Fauci is no better at pitching than he is practicing medicine.,FireFauci,0
fauci,FAVOR,MENTION What I like about DrFauci is his differentiation between public health and personal risk. It is better to be cautious now than be regretful later. Loved ones don't have to die.,"DrFauci,COVID19",2
fauci,FAVOR,"Thank you DrFauci for being the voice of truth and reason during this time! COVID19 👏👏👏 At least we, the American people, have you that we can trust to be honest and informative.","DrFauci,COVID19",2
fauci,FAVOR,"So MENTION and MENTION have decided to wind down  the coronavirus task force.  Makes sense.  The press conferences have been a disaster as Trump hijacked them, and he can't control DrFauci , he can control the head of MENTION.  Trump doesn't want accurate info out there.",DrFauci,2
fauci,AGAINST,"MENTION Yeah, no conflict of interest with any of these “health officials”. Nothing to see here people...","FireBirx,FireFauci",0
fauci,FAVOR,MENTION Ummmm 🤨   Let me think 🤔   Hell No.   Only when Dr Fauci says it’s a real vaccine. Then I’ll,TrustFauci,2
fauci,FAVOR,"It’s intriguing to me that now COVID19 numbers are on the rise in certain states the amazing &amp; straight-talking DrFauci is no longer seen on our nightly news programs. I miss hearing his direction, advice &amp; guidelines","COVID19,DrFauci",2
fauci,FAVOR,"MENTION 133000 dead Americans while he freaking mocked the need to wear a mask, including harassing DrFauci. MENTION is a fecking hypocrite for five minutes. Nice try - most Americans are that stupid.",DrFauci,2
fauci,FAVOR,MENTION MENTION Dr. Fauci deserves nothing but respect. Will there come a day when Trump actually starts putting American lives above his own personal ambitions? Start listening to people who actually know what they are doing? It never had to be this bad. ,"TrumpVirusCoverup,IStandWithFauci",2
fauci,NONE,MENTION I’d like to see Faux News admit they made an error and advise getting on board with wearing masks. Hannity and others took an early victory lap on states reopening briskly without proper safeguards. The data suggests otherwise.,"VoteBlueToEndThisNightmare,FauciIsAHero",1
fauci,NONE,"MENTION 138,384 deaths. 3,578,593 cases. Covid growing exponentially. Only 13.3% tested. STILL NO PLAN. 42 million unemployed. US soldiers being murdered by Russia MENTION MENTION MENTION MENTION MENTION FAILED AMERICA  ","trumpownseverydeath,trumpgenocide,FauciHero",1
fauci,AGAINST,"MENTION Followed 👍  Too many Democrats want him to keep lying to everybody on their networks. I’m sorry but I’ve been against Trump keeping him on board and continually peddling him to the press spewing his lies. He hurts Trump, yet Trump won’t pull the trigger.FireFauci",FireFauci,0
fauci,NONE,MENTION MENTION MENTION MENTION - MENTION has a huge heart ❤️ &amp; brain 🧠 and courage 🐅  And sings 🎵 a clarion call to save lives!   We are indebted to him as are his Patients whos hands he holds.  DrCraigASpencer  CoronavirusNewYork Coronavirus DrFauci  MENTION MENTION,"DrCraigASpencer,CoronavirusNewYork,Coronavirus,DrFauci",1
fauci,FAVOR,Watching DrFauci talk about COVID19 on MENTION is far more informative than Trump's briefings.,"DrFauci,COVID19",2
fauci,AGAINST,MENTION on the weekends is complete and utter BS... About to drop MENTION like the rest...,"weekendvibes,Fauci,fauciisaRat,FireFauci",0
fauci,AGAINST,"MENTION I The Devil, stand with Fauci, only a lunatic and a pack of thieving liars wouldn’t! We had a small pox outbreak in Hell about 10 years ago, worst in a century. A little mask wearing and social distancing cleared it right up.",IStandWithFauci,0
fauci,AGAINST,Dr. Fauci said some sports may never get back to normal...now we know who the guy picked last for every pick up game as a kid is...DrFauci,"DrFauci,COVID19,sportsareback",0
fauci,AGAINST,"So I guess masks are a good thing this week according to DrFauci.  One week they help, the next week they don't.  For someone that's supposed to know what they're talking about, he seems pretty wishy washy.  What's your agenda this week","DrFauci,FakeFauci",0
fauci,FAVOR,"MENTION MENTION And every flying monkey will believe it.  They see the evil deeds of BRAIN DEAD PMWCT (person, man, woman...) and they turn a blind eye but they will hop on board his slash Fauci  campaign.    TrumpVirus ","TrumpVirus,IStandWithFauci",2
fauci,NONE,MENTION MENTION MENTION Navarro reflects my opinion.,FireFauci,1
fauci,NONE,MENTION It is sooo past the time to,FireFauci,1
fauci,FAVOR,MENTION continues to lie about current COVID19 cases. Do you thinkMENTION are stupid. We can all see the number of COVID19 cases on the rise.  TulsaTrumpRally Oklahoma MENTION DrFauci MENTION MENTION MENTION MENTION,"COVID19,COVID19,TulsaTrumpRally,Oklahoma,DrFauci",2
fauci,NONE,MENTION MENTION This kind of FALSE testing is happening in ALL states. My husband is in sales and has talke to many in who were sent positive results sent to them they NEVER TOOK THE TEST 😡FauciTheFraud,FauciTheFraud,1
fauci,NONE,MENTION He is a disgrace!!,FireFauci,1
fauci,FAVOR,When the orangutan in office starts wearing a mask you know shit just got real.,"WearAMask,IStandWithFauci",2
fauci,NONE,"MENTION Nope, I will not be going to Vegas when it opens up. That's a long way to go to contract COVID19 and hand over my cash to a slot machine.","COVID19,StayAtHomeAndStaySafe,FlattenTheCurve,DrFauciIsANationalHero",1
fauci,AGAINST,istandwiththepresident but not for much longer.  End this COVID19 batshit insanity now.  Tell DrFauci big asskisser if Hillary to give up his god complex,"istandwiththepresident,COVID19,DrFauci",0
fauci,NONE,JOE BIDEN WILL NOT DEFUND THE POLICE.  DONALD TRUMP IS JUST LYING TO YOU AGAIN.  TrumpLiesAmericansDie  TrumpIsACompleteFailure  TrumpMustGo  AmericasGreatestMistake  AmericaOrTrump ,"TrumpLiesAmericansDie,TrumpIsACompleteFailure,TrumpMustGo,AmericasGreatestMistake,AmericaOrTrump,IStandWithFauci",1
fauci,NONE,MENTION Can he block the testing?! Can’t someone go over him ? We need testing,IStandWithFauci,1
fauci,NONE,Can someone famous ask Dr. Fauci if the Beeer Virus can spread on the dollars? 🤯😳🤭🤫,"coronavirus,DrFauci,money,fiat,sickness,retweet",1
fauci,NONE,MENTION Easter?,FireFauci,1
fauci,NONE,"MENTION Yeah, he should just gas them, run to a church he's never been to, hold a bible upside down, then cower in a bunker.","BunkerBoyTrump,TrumpGenocide,StandWithFauci",1
fauci,NONE,"MENTION 146,632 deaths. 4,197,184  cases. Covid growing exponentially. Only 15.2% tested. STILL NO PLAN. 43 million unemployed. US soldiers being murdered by Russia MENTION MENTION MENTION MENTION MENTION FAILED AMERICA  ","trumpownseverydeath,trumpgenocide,faucihero",1
fauci,FAVOR,"What is up with all the bad mouthing of Dr. Fauci?  Friends, that were Trump voters, but not now, are hating on him...a picture with his mask down?  Something about pharmaceutical interest? Saying the virus is warfare? Guess they aren't totally deprogrammed yet.",FauciIsAHero,2
fauci,AGAINST,MENTION And suicide drug addictions - isolation is a killer. When in the history of our country have healthy people been locked down?,"Fauci,FauciTheFraud",0
fauci,NONE,MENTION MENTION There’s no money in medicine that is already available and cheap..... the pharmaceutical companies need a vaccine ( hopefully a yearly one like the flu!!! ) or at minimum a new drug ( no generic!),"Covid_19,coronavirus,vaccine,FireFauci",1
fauci,FAVOR,"MENTION Seriously! Listen to 45 and NOT DrFauci  by taking an unproven drug Hydroxychloroquine if y’all want to for coronavirus!!!  Yes....The very same guy who said “I’m not a doctor, I just use common sense”. 🤷🏽‍♀️NoThankYou","DrFauci,Hydroxychloroquine,coronavirus,NoThankYou,DonaldTrump,WhiteHouseBriefings,briefing",2
fauci,NONE,MENTION MENTION MENTION Can this very foolish mayor be recalled or removed? This is not commie Russia or China or North Korea. People are getting carried away with fear and narcissism. What's going on? WHat is wrong with you people?,"coronavirus,FireFauci",1
fauci,NONE,MENTION MENTION CoronaDon needs to be committed.  I mean anyone who is blaming Obama and Biden for the testing is crazy. ,"CoronaDon,IStandWithFauci",1
fauci,NONE,MENTION No Tests = No COVID-19,FireFauciNow,1
fauci,FAVOR,I’m sure trump is “a bit nervous. Can’t sleep? Maybe because SCOTUS hears your big disclosure case tomorrow and DrFauci is going to let the truth out about COVID19 Sucks to be you right now...,"trump,SCOTUS,DrFauci,COVID19",2
fauci,NONE,MENTION Hell to the NO!!!!! I watched him lie on live TV to Congress about MMR reactions. He only corrected himself because moms in the room called him out. He is the fourth reich,FireFauci,1
fauci,NONE,"Did you all hear that ""The science should not stand in the way of this."" Covid19 AcademicChatter ScienceMatters academicmedicine ","Covid19,AcademicChatter,ScienceMatters,academicmedicine,medtwitter,WomenInSTEM,medicine,IStandWithFauci",1
