Target,Stance,Text,Hashtags,Stance_Processed
face_masks,AGAINST,MENTION So damn hot &amp; humid...Who wants to don a sweaty comfort mask on vacation?! Too many Covid restrictions and mask policies. No thanks!,"NoMasks,masksdontwork",0
school_closures,FAVOR,MENTION MENTION were to affect our family members badly and it would devastatjng if something were to happen to them! it would be the schools fault to not taking the Percautions in helping their staff and students. pls think of the families as well,"CUNY,SUNY,COVID19,CloseTheSchools",2
Climate Change is a Real Concern,FAVOR,(1/2) Poisoning of the Biosphere cannot be dealt with by free market economics; ,"Biosphere,TaxWallStreet,Environment,GMO",2
stay_at_home_orders,NONE,MENTION MENTION MENTION MENTION MENTION They won’t.,endthelockdown,1
stay_at_home_orders,NONE,🎶▶Panda cover MENTION    On BREAKETIMESHOW MENTION MENTION spinning🔂 LISTENLIVEON OURAPPONPLAYSTORE AND,"BREAKETIMESHOW,spinning,OURAPPONPLAYSTORE,WEBSITEONBIO,StaySafeStayHome",1
fauci,AGAINST,DrFauci and others of his illk bin talkin' about a second wave of the CoronavirusPandemic as a subtext fer not reopenin' up.  Hells's Bells! We're still hangin' 10 on the first wave. Let's just dive in and swim with the COVID19 sharks. Ain't that much blood in the water.,"DrFauci,CoronavirusPandemic,COVID19",0
school_closures,FAVOR,"So, Republicans want to move their stupid convention outdoors, but kids should go sit in schools? ",NotMyChild,2
stay_at_home_orders,FAVOR,MENTION Exactly.. our healthcare system is maxed out because people can follow guidelines to save their lives  WearAMask ,"WearAMask,SaferAtHome",2
face_masks,AGAINST,"I lived for 59 years and never had to wear a mask in public, until the woke, participation trophy crowd came of age.  If you’re too afraid to live life, don’t ruin life for the rest of us. Stay at home.",MasksOffAmerica,0
school_closures,FAVOR,"3 cases of COVID-19 (coronavirusuk) in 2 schools in my City, both involving teachers coming back from the North of Italy and having contact with the children for almost a week before anything was done.","coronavirusuk,CloseTheSchools",2
face_masks,FAVOR,MENTION MENTION MENTION MENTION Your use of ‘Dr Fartzy’ speaks volumes about you.  Doctors and nurses survive long shifts in serious medical masks.,WearADamnMask,2
fauci,AGAINST,MENTION Ok that seals it. This man is delusional.,FireFauci,0
fauci,AGAINST,MENTION This guy is a vaccine hungry swindler. He's a totalitarian nazi who has no regard for US lives.,FauciTheFraud,0
Atheism,FAVOR,"Now, let's get SCOTUS to rule that ""Under God"" on the currency violates the Establishment Clause. ",freethinker,2
stay_at_home_orders,AGAINST,very few Coronavirus patients and they ARE NOT intubating in the hallways. We need to help shut this baloney fearmongering down. We don't need press conferences with fakeFauci flip-flopping and contradicting. It is time to step up and out.,"fearmongering,fakeFauci,OPENAMERICANOW",0
stay_at_home_orders,FAVOR,"It is all about our life, for our safety..  Please stay home.. That's the only way we can fight against  the pandemic Covide-19. Please and please","Covide,StaySafeStayHome",2
school_closures,FAVOR,"MENTION This thing is bad, I knew of someone I was traveling with , that passed away, the guy was never off-sick, healthy and all. Covid is shit...man. And schools are still open MENTION",SchoolsMustShutdown,2
stay_at_home_orders,NONE,MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION are you listening sir? Get rid of Fauci and ,OPENAMERICANOW,1
face_masks,NONE,"MENTION MENTION Jesus it's worse than the fucking flu. People need to get that through their goddamn heads. and you don't 'survive' or 'recover' from it. There's long term lung, heart, brain, muscle etc. issues. We barely know what this virus is capable of.","ShutItDown,WearADamnMask",1
