Target,Stance,Text,Hashtags,Stance_Processed
stay_at_home_orders,NONE,Speak in such a way others love to listen to you ! Listen in such a way others love to speak to you !  quoteoftheday ,"quoteoftheday,StaySafeStayHome",1
stay_at_home_orders,NONE,MENTION DestroyDeJoy before he destroys the MENTION ,"DestroyDeJoy,VoteByMail,StaySafeStayHome",1
stay_at_home_orders,AGAINST,"MENTION MENTION You idiots just don't learn do you? Or do you think we're gold fish? ""predictive tech"" is a euphemism for modelling and that was sooo accurate last time wasn't it. STOP WASTING MY TAXES! Undo the unjust lockdown now.",endthelockdown,0
stay_at_home_orders,NONE,🎶▶Row the body MENTION MENTION   On trendmuzikblast MENTION spinning🔂 LISTENLIVEON OURAPPONPLAYSTORE AND,"trendmuzikblast,spinning,OURAPPONPLAYSTORE,WEBSITEONBIO,StaySafeStayHome",1
stay_at_home_orders,NONE,🎶▶Somebody MENTION MENTION  On TRENDVILLA MENTION MENTION MENTION spinning🔂 LISTENLIVEON OURAPPONPLAYSTORE AND,"TRENDVILLA,spinning,OURAPPONPLAYSTORE,WEBSITEONBIO,StaySafeStayHome",1
stay_at_home_orders,NONE,MENTION Beshaq ,StayAtHomeSaveLives,1
stay_at_home_orders,FAVOR,MENTION MENTION Also would Victorians cope with an NZ-style lockdown: we probably would need the ADF to help enforce as it seems we have too many not adhering to the current Stage 3 restrictions as it is!!! 😷,"lockdown,ADF,StayAtHomeSaveLives",2
stay_at_home_orders,NONE,MENTION Good news that County cricket is starting up but no news on recreational cricket the cut off point for our league is August 8th after that only friendlies or right off the season ,StaySafeStayHome,1
stay_at_home_orders,AGAINST,MENTION MENTION MENTION MENTION Numbers are going up because testing has increased exponentially.  Fatality rates have declined significantly across the country.  But I bet you didn't hear that from the MainstreamMedia  ,"MainstreamMedia,changethechannel,wuhanhoax,OPENAMERICANOW",0
stay_at_home_orders,NONE,🎶▶Forever MENTION   On trendmuzikblast MENTION spinning🔂 LISTENLIVEON OURAPPONPLAYSTORE AND,"trendmuzikblast,spinning,OURAPPONPLAYSTORE,WEBSITEONBIO,StaySafeStayHome",1
stay_at_home_orders,NONE,God's first and bless us... ,StayAtHomeSaveLives,1
stay_at_home_orders,NONE,🎶▶Kisses to the sky MENTION  MENTION On BREAKETIMESHOW MENTION MENTION spinning🔂 LISTENLIVEON OURAPPONPLAYSTORE AND,"BREAKETIMESHOW,spinning,OURAPPONPLAYSTORE,WEBSITEONBIO,StaySafeStayHome",1
stay_at_home_orders,NONE,Wishing you a very happy EidAlAdha ,"EidAlAdha,StaySafeStayHome",1
stay_at_home_orders,AGAINST,MENTION  Extending lockdown is crime against humanity. Why playing drama for the disease with 2 % fatality rate.  tamilnadu ,"tamilnadu,endthelockdown",0
stay_at_home_orders,NONE,MENTION If in case it get developed than too it will gonna help upper class only as it will be expensive so rather than wasting time in developing such things they should use the time in vaccine research only. thoughtsandprayers ,"thoughtsandprayers,StaySafeStayHome",1
stay_at_home_orders,FAVOR,"Guys, Covid-19 is real and its in Zimbabwe for real. Stay safe, stay at home, practice social distancing always, sanitize your hands, handles, phones etc.  Don't be a statistic.",StaySafeStayHome,2
stay_at_home_orders,NONE,🎶▶Rora remix MENTION MENTION On trendmuzikblast MENTION spinning🔂 LISTENLIVEON OURAPPONPLAYSTORE AND,"trendmuzikblast,spinning,OURAPPONPLAYSTORE,WEBSITEONBIO,StaySafeStayHome",1
stay_at_home_orders,NONE,MENTION MENTION MENTION No. One. Cares.,endthelockdown,1
stay_at_home_orders,NONE,MENTION MENTION This Covid will humble all of us normatter u belong to which political party.,StaySafeStayHome,1
stay_at_home_orders,FAVOR,How is the cure (economic hardship) worst then death?   How can the American public consciousness be arguing about this.  Money is good but LifeTrumpsMoney  ,"LifeTrumpsMoney,coronavirus,lockdown,ReopenAmericaNow",2
stay_at_home_orders,AGAINST,MENTION Why are we still listening to the experts.... ,OPENAMERICANOW,0
stay_at_home_orders,FAVOR,"MENTION MENTION The sooner people do the right thing, we can all get back to normality!","COVID19au,DoTheRightThing,victorialockdown,StayAtHomeSaveLives",2
stay_at_home_orders,NONE,🎶▶Call MENTION On Totorimuzik MENTION spinning🔂 LISTENLIVEON OURAPPONPLAYSTORE AND,"Totorimuzik,spinning,OURAPPONPLAYSTORE,WEBSITEONBIO,StaySafeStayHome",1
stay_at_home_orders,AGAINST,"if I visited Tescos bearing in mind its inside ,no social distancing ,no masks,no record of visitors  then got home and tested postive for COVID19 rang them to inform them would they have to shut the store ??   another crazy set of double standards, list goes on ","COVID19,endthelockdown",0
stay_at_home_orders,NONE,Reports coming in from people in the Bulawayo CBD are that police officers  and soldiers are instructing shops to close and people to go back home,"lockdown,StaySafeStayHome",1
stay_at_home_orders,NONE,🎶▶Guarante dey MENTION On Totorimuzik MENTION🎧 spinning🔄 LISTENLIVEON OURAPPONPLAYSTORE AND,"Totorimuzik,spinning,OURAPPONPLAYSTORE,WEBSITEONBIO,StaySafeStayHome",1
stay_at_home_orders,NONE,TheLounge with deejayfoxy Np  diamond MENTION MENTION MENTION MENTION deejayfoxyone  RaypowerNigeria ,"TheLounge,RaypowerNigeria,StaySafeStayHome",1
stay_at_home_orders,NONE,MENTION MENTION Go sit down and let us adults handle this  ,"Education,nced,StandUpForYourCountry,ReOpenAmerica",1
stay_at_home_orders,FAVOR,"MENTION You can't enter a bar without ID, it's not a right it's a rule! Stop acting like 5 year olds and follow the rules, even if you don't like them. BeTheExample not the tantrum itsNotFair cry babies. It's easy","bar,BeTheExample,tantrum,itsNotFair,OrderOnline,StaySafeStayHome",2
stay_at_home_orders,NONE,▶️📻 Difference  MENTION MENTION  MENTION  MENTION  RaypowerNigeria ,"RaypowerNigeria,StaySafeStayHome",1
stay_at_home_orders,FAVOR,"MENTION MENTION Kids have been home schooled since the beginning of time. They don’t NEED to be in a classroom.  The students that don’t check in usually don’t have WiFi. Free WIFI, Laptops &amp; give the parents EBT for meals.",SaferAtHome,2
stay_at_home_orders,FAVOR,Thank you for your help MENTION MENTION MENTION MENTION. We were able to get the plasma but unfortunately he passed away in the morning. Big thumbs up to the work done by everyone at grassroot level. Covid is real.,StaySafeStayHome,2
stay_at_home_orders,NONE,6988 new CoronaVirus cases in TN today.  1329 cases from Chennai  7758 discharges and 89 new deaths.  Total cases in the state now is 206737. ,"CoronaVirus,Chennai,TNCoronaVirus,StaySafeStayHome",1
