Target,Stance,Text,Hashtags,Stance_Processed
face_masks,AGAINST,"Well folks, that weirdo NealCavuto can skip his Viagra tonight. He finally got to see MENTION wear a mask. The way the media reacts to this proves it’s so much more symbolic than health related. There are some crazy ass lunatics out there.","NealCavuto,MasksOffAmerica",0
face_masks,FAVOR,Do your research on the flu outbreak in 1918 and you will see that masks were worn back then and helped stop the spread,"WearADamnMask,WearAMask,WearAMaskSaveALife",2
face_masks,AGAINST,Masks vs seatbelts. I know two people who were killed in a car crash (in the same car) several years ago. Both were actually killed by their seatbelts. One was decapitated by it. (They may also have died without them but we'll never know).,NoMasks,0
face_masks,AGAINST,"MENTION MENTION MENTION No. The fiber of the mask has holes that are larger than the virus being carried &amp; do not protect you or others.  The N95 fails to prevent sending virus out or receiving it in.  The mask is an agenda, fear based experiment to find out how quickly people turn to","sheep,MasksOff",0
face_masks,AGAINST,Make sure you wear a mask when your touching EVERYTHING else other people touched who wore their masks. Seriously? Are people really THIS stupid? 🤦🏻‍♀️,nomasks,0
face_masks,AGAINST,"Just back from the High St. Refused to wear a mask. Turned away from shops, as were many others. People walking around like dehumanised zombies.  Just as the High St was getting back, this nonsensical mandatory mask policy will finish it off.  NoMasks ","NoMasks,NoMaskOnMe",0
face_masks,AGAINST,"MENTION It's really creepy how the first chants from the crowd after GF's death were, ""I can't breathe,"" and then came the masks and people literally can't breathe. It's no accident!",NoMasks,0
face_masks,AGAINST,"I have noticed that especially millennials see these face mask thing as a trendy one. Different colour, style. How pathetic is that?",NoMasks,0
face_masks,AGAINST,"Just got kicked out of a doctors office for not wearing a mask, even though everyone is following social distance guidelines,  oh well, another place not to endorse.",NoMaskOnMe,0
face_masks,FAVOR,At this point I will happily take a couple of months of martial law just so that at the end of it I can get back to my fucking life! WEAR YOUR MASK PEOPLE AND PUT IT OVER YOUR GOD DAMN NOSE! I hate this fucking city,"Nashville,COVIDIOT,coronavirus,WearADamnMask",2
face_masks,FAVOR,"MENTION To all anti-maskers and covidiots, especially that idiot in the WH, and all the politicians. This will all be the cause of your downfall. Karma is coming soon!",WearADamnMask,2
face_masks,FAVOR,"MENTION Locally, the mayor of Tucson, AZ-Regina Romero-She put her foot down and made it mandatory to wear masks in town and closed down business and did not open them again in limited ways early-that' why the numbers are better, here-SocialDistancing","SocialDistancing,WearADamnMask",2
face_masks,FAVOR,"MENTION Then leave the shop immediately and go somewhere else.The public health advice is to use your common sense, if a place is crowded or feels unsafe, leave. Just imagine being in a classroom with 25 teenagers and no masks,  that what our government wants in 4 weeks.",MasksSaveLives,2
face_masks,NONE,MENTION And I'm sure not even one of the protesters got ill or died of Covid... Wonder why... Could it all be a SCAM?,"coronavirus,endlockdownuk,Plandemic2020,MyBodyMyChoice,NoNewNormal,NoMaskOnMe",1
face_masks,FAVOR,"MENTION MENTION The protesters in my town wear masks, just like everyone else that can't social distance. Masks work.",WearADamnMask,2
face_masks,NONE,I would listen to Dr. Fauci with his mouth closed much more than I would MENTION with his mouth open.,"PresidentBodyBags,WearAMask",1
face_masks,NONE,I just don’t get it video’s of violence can stay on Twitter of Fakebook but when it comes to life saving truth it’s deleted.MENTION I thank God for you every day.. God Bless you.,"Hydroxychloroquine,GodWins,GiveUsBackOurFreedom,NoMask",1
face_masks,FAVOR,MENTION Does MENTION require masks at locations or is it a manager discretionary decision ? MaskUp SafetyFirst ,"MaskUp,SafetyFirst,MasksOn",2
face_masks,AGAINST,Ice cream shop (walk up only) wouldn’t serve me due to no mask so I went to another place and went through a drive through. So FU ice cream business.  I was standing around people eating with no mask and hanging out.,"NoMaskOnMe,MasksareforSheep,MasksOffAmerica",0
face_masks,FAVOR,"Wearing masks during the pandemic is obviously a necessity, and those that aren't are just selfish or moronic. I wear a neck gaiter mask and it doesn't bother me at all, in fact it makes me feel better (probably due to my anxiety) - Am I alone in feeling that way?",WearADamnMask,2
face_masks,FAVOR,"I’m tired of the “I have asthma” excuse for not wearing a mask.   One of our regulars, who comes in multiple times a week has asthma. Let’s call him Steve. He wears his mask EVERY TIME.   He also only has oNE LUNG. And he does not complain.   Be like Steve.",WearADamnMask,2
face_masks,FAVOR,"MENTION MENTION MENTION MENTION Your ""logic"" is typical of the uneducated. Just because THEY didn't die doesn't mean other people won't or won't have life long effects. You really are willing to sacrifice them COVIDIOTS You probably don't even get the flu shot. Bunch of nutcases you all are","COVIDIOTS,WearADamnMask",2
face_masks,FAVOR,MENTION MENTION multi-generational households are traditionally POC &amp; taking it home to their grandmas &amp; parents is the feature not the bug w/ this “MENTION plan” for this [corona]virus.  DeliberateSpreaders seems obvious it’s why we’re STILL arguing abt masks.,"DeliberateSpreaders,WearADamnMask",2
face_masks,FAVOR,"MENTION MENTION MENTION MENTION MENTION Social Distance. Stay home. Don’t open the economy too soon. Wear a mask: The plans that we do have are based on science and they work, no thanks to ignoramus-in-chief.","SocialDistancing,WearAMask,WearADamnMask,WearAMaskSaveALife",2
face_masks,FAVOR,I guess I should’ve know any effort to flatten the curve that depended on an overwhelming majority of Americans to refrain from being self-centered was doomed to fail.,WearAMask,2
face_masks,AGAINST,"MENTION MENTION Stop the madness Masks make things worse, you know that! ","madness,NoMasks",0
face_masks,AGAINST,MENTION MENTION MENTION MENTION MENTION Then you should put on 2 masks to double your protection because most of are not going to be forced to wear one because you're scared!,NoMasks,0
face_masks,AGAINST,"Masks are being proven for the rise in COVID-19, places which are now experiencing rising figures generally have mandatory masks. People are touching faces and are helping spread Coronavirus. The UK’s figures are rising, due to this very reason.","hancockmustgo,kbf,NoMasks",0
face_masks,AGAINST,"Fauci keeps flip flopping on masks, he won't be happy til everyone has a bag over our heads.",NoMasks,0
face_masks,AGAINST,The article in the Mail on Sunday by MENTION (Peter Hitchens) is brilliant. I only wish more journalists were like him and ‘awake’ to the fact we’re being played.,"Scamdemic,covid1984,NoMasks",0
face_masks,AGAINST,"MENTION MENTION MENTION Exactly. And I've not worn a mask at all, been in huge crowds without masks, been at a house party close quarters with someone who 2 days later tested positive and I still haven't caught it.  So the mask debate rages on...",NoMasks,0
face_masks,NONE,MENTION MENTION And that’s what we’ve had for decades.... government schools that whitewashed history.,WearADamnMask,1
face_masks,FAVOR,MENTION start protecting your employees and customers and start regulating and mandating masks. I probably have it already as well as 8 other associates in my neighborhood market.  Please at least pretend you care.  They actually help.,masks,2
face_masks,NONE,"MENTION 🦠°°° ""Still alive"" huh... In other words, ""recovered"" rarely means actually recovered -- considering the often devastating and sometimes lifelong aftereffects of the virus. ","StayAtHome,WearADamnMask",1
face_masks,FAVOR,MENTION Trying to be a smart ass!!!  Dr Fauci is the only expert we need!!! TrumpDeathToll137K  TrumpVirusCatastrophe  TrumpGolfsAmericansDie ,"TrumpDeathToll137K,TrumpVirusCatastrophe,TrumpGolfsAmericansDie,Masks4All",2
face_masks,FAVOR,"MENTION MENTION MENTION MENTION It’s not about me, my mask protects others",MaskMoaners,2
face_masks,NONE,MENTION MENTION I can still see that awesome smile Councillor Michaud!,"SmileWithYourEyes,WearAMask",1
face_masks,AGAINST,MENTION Never thought I’d say it Boris but for a so called ‘liberal’ conservative you are an absolute control freak! Stop babying us. Stop nannystate and FFS stop the insane forced masks.,"nannystate,nomasks",0
face_masks,NONE,"Can someone please do a ""Downfall"" parody of the mask situation? Long overdue if it hasn't been done yet.","downfall,NoMask",1
face_masks,FAVOR,MENTION So nobody wears a mask in South Carolina???   ,WearADamnMask,2
face_masks,AGAINST,"Mother Nature along with good hygiene is slowing the covid virus, not masks",MasksOffAmerica,0
face_masks,NONE,"MENTION MENTION Jesus it's worse than the fucking flu. People need to get that through their goddamn heads. and you don't 'survive' or 'recover' from it. There's long term lung, heart, brain, muscle etc. issues. We barely know what this virus is capable of.","ShutItDown,WearADamnMask",1
face_masks,FAVOR,"MENTION Why not “Mask-Up Idaho” I was out there for the weekend and it was absolutely disgusting. I only saw 2 employees and maybe, MAYBE 20 people protecting those around them.","maskupidaho,WearADamnMask",2
face_masks,NONE,"MENTION MENTION Why did Hillary not go in front of a grand jury, for lying while under oath to congress? ","EndDemFascism,ObamaGate,WalkAway,AllLivesMatter,BLMTerrorists,EndShutDown,MasksOff",1
face_masks,FAVOR,"MENTION Follow your own advice, then. You did an entire press conference with the mask hanging from your ear.",MasksOffAmerica,2
face_masks,NONE,Happy Monday! WashYourHands  StayHome ,"WashYourHands,StayHome,WearAMask",1
face_masks,NONE,I’m using Twitter more now and would like to get to 1000 followers and meet more like minded people! Help a girl out! I follow back!,"atheist,DumpTrump2020,resist,WearADamnMask",1
face_masks,FAVOR,"MENTION MENTION This is ridiculous. I’m all for religion, just safe from my couch. As a San Diego women who got covid from a restaurant in Carlsbad. (Negative now). Wear a damn mask people, I almost died from this crap!",WearADamnMask,2
face_masks,FAVOR,"Just got word that my coworker tested positive for covid-19. He was anti mask and went to parties without any care for the people around him. Now because of him I'm scared for my life.  Please for the love of god,","WearAMask,WearADamnMask",2
face_masks,FAVOR,MENTION MENTION Good for them! So tired of reading constant stories of those who refuse to abide by mask mandates. Equally tired of abuse workers are facing to try to enforce them. ,WearADamnMask,2
face_masks,FAVOR,"MENTION MENTION MENTION MENTION MENTION MENTION Yes... exactly... ""harass cake eaters and bakeries"" if that's your bliss. Really! But please do it without shouting. Follow the law, follow local regs, respect store policies, and puleeezzz wear a mask. 😁",MasksSaveLives,2
face_masks,FAVOR,Taking a scroll through Instagram right now...I didn’t know the pandemic was over! Congrats everyone!! Hope you enjoyed your big night out.   I’ll just huddle over here behind my mask as school starts in two weeks.,WearADamnMask,2
face_masks,NONE,Which do u fear most.? 🇺🇸 Polls Poll Polling TwitterPoll tweet TwitterPolls Montana Android virus Texas iPad iPhone USA stayhome Facebook shutdown🔒 StayAtHome fullmoon,"fear,Polls,Poll,Polling,TwitterPoll,tweet,TwitterPolls,Montana,Android,virus,Texas,iPad,iPhone,USA,stayhome,Facebook,shutdown,StayAtHome,fullmoon,mentalhealth,coronavirus,POTUS,economy,SAMA26,Bioterrorism,COVID19,MaskUp,MasksOff",1
face_masks,AGAINST,"MENTION 🤦‍♀️How funny that when in the beginning some people were wearing mask they were called selfish by taking them from nhs staff, but now when all shops stock pile suddenly they are mandatory  🤔 and does like me that refuse to put on this muzzle are called selfish",NoMasks,0
face_masks,AGAINST,"MENTION Who the hell are these fascist local Dems to order, threaten and arrest me for not obey. This is not the American way. Our constitution protects me from fascist Dictators like Gov Wolf. He should have tries asking. ObamaGate WalkAway ","ObamaGate,WalkAway,BLMTerrorists,EndShutDown,MasksOff",0
face_masks,AGAINST,Why do I refuse to wear a mask? Because...IT’S BEYOND FUUUCKING STUUUPID!!!,NoMask,0
face_masks,FAVOR,Some of ya'll couldn't dissect a frog in high school but you know more than health professionals about the Coronavirus!?!? 🤦🏿‍♂️ COVID19 ,"COVID19,WearADamnMask",2
face_masks,FAVOR,MENTION MENTION MENTION MENTION MENTION MENTION and yet MENTION MENTION still not a fan of requiring masks. It doesn't make sense. Even Trump and Pence have been wearing and promoting them and that's the bottom of the intellectual barrel!,MasksSaveLives,2
face_masks,AGAINST,MENTION MENTION Ditto with respect to any business requiring a mask and we will continue to boycott these businesses once they lift that requirement.  We have no problem supporting those businesses without a mask requirement. ,NoMasks,0
face_masks,FAVOR,"MENTION You are Not allowed into the UK Disney stores without a face mask as it’s company policy, they had someone on the door handing out masks to those without one. As a young person I am happy to wear a mask during this time and hope it becomes compulsory in shops.",WearAMask,2
face_masks,FAVOR,All Lives Matter? then wear a mask,"ALM,BLM,masks",2
face_masks,FAVOR,Don't recommend going to Bottles and Stuff on Newburgh and 5 Mile. They're not enforcing/following the mask ordinance. ,"Maskholes,WearADamnMask",2
face_masks,AGAINST,MENTION We really do. I was grocery shopping this morning and a guy was walking around the store with his mask pulled down to his chin. Ignorant jerk.  ,WearADamnMask,0
face_masks,FAVOR,On the bus. Out of the 6 people on the lower deck only 2 have their masks on properly 3 have their mouths covered but their nose poking out and one has it round their neck. Just what is the point? It’s really not that hard,WearADamnMask,2
face_masks,NONE,MENTION We surpassed 2008 a couple hundred diluted tweets ago.  Resist  VoteForOurLives ,"Resist,VoteForOurLives,WearADamnMask",1
face_masks,FAVOR,We can do this.,"patriotswearmasks,WearAMask,MasksSaveLives",2
face_masks,FAVOR,MENTION Do we not cover and protect various other organs from our environment? Have we evolved to have skin that doesn't burn into cancerous lesions? How many examples do you need MENTION before you understand that your opinion of mask-wearing is utter nonsense,WearADamnMask,2
face_masks,NONE,MENTION MENTION MENTION should be proud. MENTION please stop accepting people of poor character,WearAMask,1
face_masks,NONE,I truly feel for all the parents who are grappling with whether or not to give their school-aged children up for the greater good and literally risking their lives by....sending them to school this fall. For the record if I had school aged kids I would not be doing it,WearAMask,1
