Target,Stance,Text,Hashtags,Stance_Processed
school_closures,FAVOR,"So, Republicans want to move their stupid convention outdoors, but kids should go sit in schools? ",NotMyChild,2
school_closures,NONE,Questions of the Day: Do you think kids should return to school in the fall with our current state in the pandemic?  How many of your are actual parents planning for your kids to return to school?  Let me know your thoughts!!! ,"Schools,SchoolsReopening,SchoolsMustShutdown",1
school_closures,FAVOR,"MENTION So many educational 'categories' of students classified 'special needs.' Vary by state. Learning disabled to multiply 'handicapped' &amp; so much more. Some are more physically vulnerable to COVID. If schools accept some, how to tell parents NO to others? No easy answers.",NotMyChild,2
school_closures,FAVOR,MENTION Thank goodness! Protect your babies at all costs Chris. You cannot rely on this administration and the COVIDIOTS to make decisions! I stand behind you and all parents 100% 👊,"COVIDIOTS,NotMyChild",2
school_closures,NONE,"Which other sector has been banned from providing services or collecting revenue?  So liquor shops, malls, all were poor hand-to-mouth and show must go on for them; while all schools have been doing is exploit parents! Is that how schools have been perceived",SaveOurSchools,1
school_closures,AGAINST,"If teachers don't do their work at schools, then they should not get paid!",OpenSchools,0
school_closures,FAVOR,I’m homeschooling this year. Not risking my daughter over someone who doesn’t understand wind and thinks the enemy is a friend. ,NotMyChild,2
school_closures,FAVOR,Tell me why the GOP convention in Florida can be cancelled due to Covid but schools are ok to open??? 🤔COVID,"COVID,mondaythoughts,teacher,SchoolsMustShutdown",2
school_closures,NONE,MENTION I’m ok with a mask if it makes people safer.,NotMyChild,1
school_closures,AGAINST,"Oh, boy! Praying for my daughter and her 2021 classmates! Looks like they will be robbed of a normal Senior year thanks to COVID19 restrictions that are totally unnecessary! Stop this insanity!","COVID19,OpenSchools",0
school_closures,FAVOR,Every school district should be asking their governors and the mayors and their school boards to give them the facts not opinions on opening the schools did the children. The facts do not back up the hysteria. Children will suffer..OpenSchools,OpenSchools,2
school_closures,FAVOR,I support online school for my children as that is the new normal in the current turbulent times. Don’t try to ruin schools and education,"school,SaveOurSchools",2
school_closures,FAVOR,If you can’t get through the first week of baseball how the heck can you open schools?,SchoolsMustShutdown,2
school_closures,FAVOR,"MENTION If the White House is closed to tours and businesses cannot safely fully reopen, schools should not reopen!",NotMyChild,2
school_closures,FAVOR,“We don’t want science to stand in the way of schools reopening.”  -  White House press secretary.  I have no words!!!!  🤦🏻‍♂️,"TrumpFailsAmerica,notmykid,NotMyChild",2
school_closures,AGAINST,Guess who's going to be hurt the most by keeping schools closed? Ding... ding... ding.... all they want to do is keep the divide and keep the classes separated. ,OpenSchools,0
school_closures,AGAINST,The policymakers need to consider the fact that schools can't run without fees and teachers can't survive without salary.,SaveOurSchools,0
school_closures,NONE,What if we were given scientific proof that Covid-19 is waterborne??🤣🤣🤣🤷🤷 WhatsApp ,"WhatsApp,July31,SchoolsMustShutdown",1
school_closures,NONE,MENTION MENTION MENTION Where will school meet the deficiet? In Gujarat all the accounts are audited by FRC andthen fees is finalised. No surplus fund is given to schools to meet any contingencies like this.,SaveOurSchools,1
school_closures,NONE,Should teachers get paid when schools shut down?,SchoolsMustShutdown,1
school_closures,FAVOR,Trump is pushing to open schools w/o a plan because anything else makes him wrong &amp; he'd have to take some responsibility. He's that narcissistic that he would risk children's lives to prove he's right even when common sense &amp; science clearly tell you otherwise ,NotMyChild,2
school_closures,NONE,MENTION MENTION MENTION Sorry but schools are usually not profit mongering. Parents who fight education spending but are ready to spend on holiday travel should introspect on what is important.,SaveOurSchools,1
school_closures,FAVOR,Why are schools still open????? Mr President you and your cabinet are bloody clueless,SchoolsMustShutdown,2
school_closures,NONE,"I would like to hear from other parents about schools reopening. Amie is 16, she has flat out told me she won't go back until a vaccine exists.","COVID19,SchoolReopening",1
school_closures,FAVOR,"People saying that schools and the economy could already be opened, with significantly less danger and financial distress, if we just handled the virus as well as most other countries are missing the point! COVFEFE! MENTION",NotMyChild,2
school_closures,AGAINST,"MENTION Citizens shouldn’t be subject to infection via contact w/ protesters, unknowingly. For protesting to be more important than church, businesses, and schools remaining open shows our country has a biased view of what is effective against this shit and what isn’t.",OpenSchools,0
school_closures,FAVOR,MENTION Im scared to go to school LAUSD needs to stop being money greedy they aren’t thinking of those kids who have low immune system and who can easily catch the coronavirus and spread it,"LAUSD,coronavirus,CloseTheSchools",2
school_closures,NONE,"MENTION Oh good gracious, just fuck off already Fauci . You have been punishingly wrong about COVID19 time and time again. Have some dignity and dummy up about a virus that has a 99% survival. Pandemic my fuzzy ass.","Fauci,COVID19,COVID_19,coronavaccine,ChinaVirus,ReOpenAmerica,OpenSchools",1
school_closures,FAVOR,MENTION MENTION So TrumpKillsAmericans says Abortion is bad because it kills a child... But sending them to school during COVID19 is OK??  SMH TrumpDoesntCare  ,"TrumpKillsAmericans,COVID19,SMH,TrumpDoesntCare,NotMyChild",2
school_closures,NONE,MENTION Guess what. Schools closed for 1 MONTH,OpenSchools,1
school_closures,FAVOR,I am a parent. And a bad teacher. And I am anxious about schools in fall.,"schoolsreopening,pandemic,SchoolReopening,SchoolsMustShutdown",2
school_closures,FAVOR,"Kids go to school so they can learn, not so you can work. Not so they can die.","COVID19,SchoolReopening,SchoolsMustShutdown",2
school_closures,FAVOR,Apparently MENTION wants her children to die in TrumpsAmerica . 🤷🏻‍♂️,"TrumpsAmerica,TrumpVirus,SchoolsMustShutdown",2
school_closures,NONE,Can anyone imagine a society without good school and good schools without excellent educators,SaveOurSchools,1
school_closures,NONE,In these difficult times government can not ignore the sufferings of Private schools. We the teachers have not received our salary from past 3 months and may be for next few months too. Please do something to keep School and it's staff alive.,SaveOurSchools,1
school_closures,NONE,"MENTION Good! Now assume rank and file, march out onto those streets and go sneeze on some fucking Boomers! coronavirus  COVID19 ","coronavirus,COVID19,CloseTheSchools",1
school_closures,FAVOR,"No vaccine, no school!  Kids are required to show vaccine records to set foot on any public school campus. Now we are letting that slide so they can pass around COVID and risk dying?  ",NotMyChild,2
school_closures,NONE,"Schools should've taught us the synonyms for ""very very"", ""really really"" and ""so so"" and what should we use while using fillers like: ""uhhhhhh"", ""like"", ""mmmm"" instead of (a+b)²🥴😔.","englishvocabulary,SchoolsMustShutdown",1
school_closures,NONE,Save our schools to save future of our country.SaveOurSchools,SaveOurSchools,1
school_closures,NONE,"If government has problem with private schools, why central government is privatising sole of its companies? It is because privatization brings decipline and efficiency in system. If government wants to earn money, why not schools?",SaveOurSchools,1
school_closures,FAVOR,"I don’t even HAVE a child, and I understand that is imperative we keep schools closed until it is safe for students, teachera and staff. This shouldn’t be hard to grasp.",NotMyChild,2
school_closures,FAVOR,"as someone who is autoimmune, i do NOT want to be catching coronavirus... but of course the schools don't care about it 😍😍😍",CloseTheSchools,2
school_closures,FAVOR,"All these parents claiming their kids won’t wear masks if schools open...Okay, then kids can bring peanut butter to school again because all death options matter. Schools should not open! ","COVID19,coronavirus,SchoolReopening,SchoolsMustShutdown",2
school_closures,FAVOR,"PostponeJEE_NEETinCovid We Wont give exams until our parliament is closed and until there is no vaccine. As WHO says covid has become airborne and can travel upto 15 feet, so socil distancing will be a joke at the examination centres.teenagers are at higher risk ","PostponeJEE_NEETinCovid,SaveOurSchools",2
school_closures,NONE,"MENTION MENTION Do you think its right for the Gujarat Government to stop Private UnAided Schools from charging any fees till they reopen, while teachers are teaching online?  Looking forward to hear your thoughts? ",SaveOurSchools,1
school_closures,NONE,MENTION MENTION Did kids die on The Gong Show? I'm too young to directly remember that TV show. ,CloseTheSchools,1
school_closures,FAVOR,"*whispers* The MENTION isn't trying to win MENTION votes by sending your kids back to school with no COVID19 plan, they're trying to destroy public education by bankrupting and breaking the system by sending it into total chaos when half or more don't show up","COVID19,NotMyChild",2
school_closures,NONE,I hope she is autopsied or vivisected to help us understand how she's able to effortlessly speak out of two mouths simultaneously.,"TrumpPressConference,TrumpLiesAmericansDie,kayleighmcenany,SchoolsMustShutdown",1
school_closures,FAVOR,"MENTION Gotta say, my daughter loves online school because she’s not being made fun of everyday &amp; her mental health has improved so much her Dr. thought she should continue even if they opened the schools up. ",NotMyChild,2
school_closures,FAVOR,MENTION Don’t reopen schools in the fall. Protect your children from a failed government and the deluded sycophants that continue to support it.,NotMyChild,2
school_closures,FAVOR,MENTION MENTION Then why are schools being forced to open if he is so caring?,SchoolsMustShutdown,2
school_closures,NONE,We live in a world where digitalisation is the new normal. Lets adapt and learn. SaveOurSchools. Let schools function RightToTeach MENTION MENTION     ,"SaveOurSchools,RightToTeach,SaveOurSchools",1
school_closures,FAVOR,MENTION MENTION says that the administration won’t let science stand in the way of opening the schools.   This can not stand.  ,NotMyChild,2
school_closures,NONE,"School is a community where we enlighten innocent minds &amp; prepare them for the future challenges. But Present Policies &amp;  Political involvement has completely ruined the educational structure of our schools,colleges &amp; private institutions.",SaveOurSchools,1
school_closures,NONE,“If private schools don’t survive this pandemic then the country will go back 50 years. Let that thought sync in your minds MENTION MENTION MENTION. MENTION  MENTION MENTION MENTION MENTION Don’t let the school sink...,SaveOurSchools,1
school_closures,FAVOR,"Learning should be constant...then . Why not in covid situation ? Teachers are learning new ways, technology to reach out all the students .... Students have also  accepted the change to learn through virtual classes.... Schools should be on and on and on",SaveOurSchools,2
school_closures,NONE,"Very soon, by analysing the number of papers published in 2020/2021, you will be able to say who has kids and who has not.","coronavirus,CloseTheSchools",1
school_closures,FAVOR,"When my 5 yr old nephew sees a mask in our hands he asks if we're going somewhere, he reminds his big brothers to bring a mask when they leave the house. He's adapted. He was excited to start school this year, but I'd rather homeschool all of them than send them in. ",NotMyChild,2
school_closures,FAVOR,"MENTION just aanouced that there should be no visits but yet schools must open, how? The parliament is closed why should schools open again? What do the little ones understand about social distancing? Keep their masks on the whole time? Come on!!SchoolsMustShutdown",SchoolsMustShutdown,2
school_closures,FAVOR,"Remote learning is not perfect, but it can improve enormously with more focus on fewer subjects at a time.   Children CAN die of Covid-19, as can teachers, all school staff, and family members.   Covid-19 leaves longterm damage we are just learning about.  ",NotMyChild,2
school_closures,AGAINST,"""...schools extremely important, they are essential and they must re-open"" - MENTION ",OpenSchools,0
school_closures,FAVOR,"MENTION And what exactly are you doing to make schools any safer, Senator?  Teachers and students need PPEs and testing.  Most school don’t have nurses or even money for sanitizers and tissues. You want all kids going back to school without safeguards? ",NotMyChild,2
school_closures,FAVOR,Reopening schools is the height of insanity.,NotMyChild,2
school_closures,FAVOR,Shutdown the schools and pay the teachers coz parents pay school fees,SchoolsMustShutdown,2
